genre_name,bucket_name,hours
french house,electronic / dance,0.15
jackin house,electronic / dance,0.15
techno,electronic / dance,0.15
minneapolis sound,r&b / soul,0.12
smooth jazz,jazz / blues,0.11
nu jazz,jazz / blues,0.03
afro-cuban jazz,latin,
ambient dub,electronic / dance,
ambient techno,electronic / dance,
big beat,electronic / dance,
bossa nova,latin,
breakbeat,electronic / dance,
chillout,electronic / dance,
cloud rap,hip-hop / rap,
idm,electronic / dance,
latin jazz,latin,
lounge,other,
mpb,latin,
roots reggae,other,
samba,latin,
world fusion,other,
